Compare,v,s,#,f,o,r,t,i,m,e,u,a,n,d,l,g,b,h,k,y,p,:,_,j,c,w,/,.,[,-,],"=""=""",),",",x,!,(,"""",^,<,?,z,q,{,},3,+,1,2,*,9,;,&,5,4,0,@,>,8,6,`,%,~,|,$,7,"=""'""", 
},0,0,148,0,0,0,0,148,0,0,0,148,0,0,0,0,148,0,0,148,0,148,148,0,0,0,78,74,148,148,148,148,163,172,148,148,163,163,57,45,148,0,0,156,,84,148,148,148,109,21,103,83,66,148,163,11,148,17,37,148,33,22,14,45,22,0,0
3,0,0,84,0,0,0,0,84,0,0,0,84,0,91,0,0,84,0,0,84,18,84,84,0,0,0,115,74,84,294,84,84,107,84,84,100,105,105,57,96,105,0,0,84,84,,84,420,462,84,147,84,83,444,546,84,11,84,143,247,84,33,22,14,45,274,0,0
+,0,0,341,0,0,0,0,341,0,0,0,341,0,0,0,0,341,0,0,228,0,341,355,0,0,0,78,74,229,356,197,372,341,341,186,354,341,341,57,45,341,0,0,141,148,84,,283,164,109,21,103,83,66,341,157,11,211,17,37,178,33,22,14,45,22,0,0
1,0,0,284,0,0,0,0,285,11,35,0,280,0,0,35,0,294,0,0,228,0,266,280,0,0,0,113,74,229,694,197,318,284,266,186,285,266,301,92,45,296,0,0,141,148,420,283,,650,156,77,103,83,303,530,192,11,211,101,163,193,33,34,14,45,148,21,0
2,0,0,164,0,0,0,0,164,0,0,0,164,0,0,0,0,164,0,0,164,0,164,164,0,0,0,78,74,164,500,164,164,164,164,164,164,164,164,57,45,164,0,0,141,148,462,164,650,,121,117,103,83,341,554,169,11,164,143,163,164,33,22,14,45,148,12,0
*,0,0,127,0,0,0,0,128,11,26,0,109,0,0,26,0,123,0,0,109,0,109,109,0,0,0,104,74,109,135,109,135,127,109,109,128,109,135,83,45,135,0,0,109,109,84,109,156,121,,231,103,83,119,151,130,11,109,101,121,124,33,34,14,45,232,42,0
9,0,0,21,0,12,0,0,21,0,0,0,21,0,0,0,0,21,0,0,21,0,21,21,0,0,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0,0,21,21,147,21,77,117,231,,21,21,329,327,21,11,21,311,273,21,21,21,14,21,357,0,0
;,0,0,103,0,0,0,0,103,0,0,0,103,0,0,0,0,103,0,0,103,0,103,103,0,0,0,78,74,103,103,103,103,103,103,103,103,103,103,57,45,103,0,0,103,103,84,103,103,103,103,21,,83,66,103,103,11,103,17,37,103,33,22,14,45,22,0,0
&,0,0,83,0,0,0,0,83,0,0,0,83,0,0,0,0,83,0,0,83,0,83,83,0,0,0,78,74,83,83,83,83,83,83,83,83,83,83,57,45,83,0,0,83,83,83,83,83,83,83,21,83,,66,83,83,11,83,17,37,83,33,22,14,45,22,0,0
5,0,0,66,0,0,0,0,66,0,0,0,66,0,0,0,0,66,0,0,66,0,66,66,0,0,0,66,66,66,192,66,66,66,66,66,66,66,66,57,45,66,0,0,66,66,444,66,303,341,119,329,66,66,,540,77,11,66,353,457,66,33,22,14,45,442,11,0
4,0,0,610,0,0,0,0,642,0,0,0,642,0,0,0,0,642,0,0,228,0,642,642,0,0,0,78,74,229,810,197,642,642,642,186,642,582,642,57,45,642,0,0,141,148,546,341,530,554,151,327,103,83,540,,157,11,211,227,331,178,33,22,14,45,316,0,0
0,0,0,157,0,0,0,0,157,0,0,0,157,0,0,0,0,157,0,0,157,0,157,157,0,0,0,78,74,157,157,157,157,175,157,157,157,175,175,57,45,157,0,0,159,163,84,157,192,169,130,21,103,83,77,157,,11,157,17,37,157,33,22,14,45,22,75,0
@,25,0,52,0,0,0,0,36,0,0,25,36,0,0,0,0,11,0,0,11,0,11,11,25,0,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,11,11,11,11,11,11,11,11,11,11,11,11,11,,11,11,11,11,11,11,11,11,11,0,0
>,0,0,211,0,0,0,0,211,0,0,0,211,0,0,0,0,211,0,0,211,0,211,211,0,0,0,78,74,211,211,197,211,211,211,186,211,211,211,57,45,211,0,0,141,148,84,211,211,164,109,21,103,83,66,211,157,11,,17,37,178,33,22,14,45,22,0,0
8,0,0,17,0,0,0,0,17,0,0,0,17,0,0,0,0,17,0,0,17,0,17,17,0,0,0,17,17,17,38,17,17,17,17,17,17,17,17,17,17,17,0,0,17,17,143,17,101,143,101,311,17,17,353,227,17,11,17,,269,17,17,17,14,17,311,102,0
6,0,0,37,0,0,0,0,37,0,0,0,37,0,0,0,0,37,0,0,37,0,37,37,0,0,0,37,37,37,121,37,37,37,37,37,37,37,37,37,37,37,0,0,37,37,247,37,163,163,121,273,37,37,457,331,37,11,37,269,,37,33,22,14,37,400,0,0
`,0,0,207,0,0,0,0,193,11,48,0,178,0,0,15,0,192,0,0,178,0,178,178,0,0,33,93,94,178,193,178,193,193,178,178,193,178,226,72,45,222,0,0,141,148,84,178,193,164,124,21,103,83,66,178,157,11,178,17,37,,33,34,14,45,22,0,0
%,0,0,33,0,0,0,0,33,0,0,0,33,0,0,0,0,33,0,0,33,0,33,33,0,0,0,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,0,0,33,33,33,33,33,33,33,21,33,33,33,33,33,11,33,17,33,33,,22,14,33,22,0,0
~,0,0,34,0,0,0,0,34,11,12,0,22,0,0,12,0,34,0,0,22,0,22,22,0,0,0,34,22,22,34,22,34,34,22,22,34,22,34,34,22,34,0,0,22,22,22,22,34,22,34,21,22,22,22,22,22,11,22,17,22,34,22,,14,22,22,0,0
|,0,0,14,0,0,0,0,14,0,0,0,14,0,0,0,0,14,0,0,14,0,14,14,0,0,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,14,14,14,14,14,14,14,14,14,14,14,14,14,11,14,14,14,14,14,14,,14,14,0,0
$,0,0,45,0,0,0,0,45,0,0,0,45,0,0,0,0,45,0,0,45,0,45,45,0,0,0,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,0,0,45,45,45,45,45,45,45,21,45,45,45,45,45,11,45,17,37,45,33,22,14,,22,0,0
7,0,0,22,0,0,0,0,22,0,0,0,22,0,0,0,0,22,0,0,22,0,22,22,0,42,0,22,22,22,85,22,22,22,22,22,22,22,22,22,22,22,0,0,22,22,274,22,148,148,232,357,22,22,442,316,22,11,22,311,400,22,22,22,14,22,,0,0
"=""'""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,21,12,42,0,0,0,11,0,75,0,0,102,0,0,0,0,0,0,0,,0
 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
