Compare,x,#,f,o,r,t,i,m,e,u,k,y,l,g,s,a,n,d,b,h,p,:,_,v,j,c,w,/,.,[,],-,(,),",",!,"""","=""=""",^,?,<,q,{,},+,1,3,z,2,*,9,;,&,5,6,0,4,@,>,8,`,~,%,$,7,|,L,B,T,C,"=""'""",H,O,N, ,M,R,E,J,A,V,S,D,W,G,P,F,Q,Y,I,K
"=""=""",21,512,14,22,6,6,66,52,92,6,16,16,66,16,18,788,25,13,65,0,0,781,787,6,0,8,19,143,114,221,196,856,508,812,802,717,840,,118,813,45,0,131,140,353,314,93,6,176,128,22,153,87,64,41,170,644,28,208,12,198,37,36,43,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
^,14,84,8,0,0,0,47,27,631,0,0,0,188,10,0,59,19,0,69,0,0,59,65,6,0,8,0,213,68,59,59,182,59,78,67,77,100,118,,85,38,0,59,59,59,84,59,6,59,83,22,59,69,59,41,66,59,16,59,12,74,37,36,43,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?,14,519,14,7,7,7,39,36,58,0,0,7,26,10,7,1253,31,0,44,7,0,973,1252,13,0,8,31,110,133,221,196,1263,569,1185,1106,748,937,813,85,,38,0,131,140,332,288,97,6,168,128,29,147,87,64,41,170,644,16,208,12,217,37,36,43,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
<,34,38,0,0,0,0,0,6,0,0,0,0,0,0,6,38,0,38,0,0,20,108,38,0,0,0,0,73,38,38,38,45,38,59,38,38,45,45,38,38,,0,38,38,38,38,76,0,38,38,22,38,38,38,38,38,38,16,38,12,38,24,36,38,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
q,12,0,6,22,25,23,46,24,47,16,12,7,18,25,34,40,35,18,34,12,16,0,0,12,0,12,24,0,0,0,0,0,0,0,6,0,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
{,11,131,0,0,0,12,13,0,13,0,0,0,0,0,15,146,9,8,6,6,0,131,131,0,0,9,0,84,99,131,131,131,147,154,139,131,154,131,59,131,38,0,,146,131,131,86,0,137,104,22,131,77,64,41,150,137,16,131,12,131,24,36,43,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
},11,140,0,0,0,12,13,0,13,0,0,0,0,0,15,155,9,8,6,6,0,140,140,0,0,9,0,84,99,140,140,140,155,155,171,140,155,140,59,140,38,0,146,,140,140,86,0,146,104,22,140,77,64,41,155,146,16,140,12,140,24,36,43,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,7,332,0,0,0,0,6,0,0,0,7,9,7,0,0,332,0,0,6,0,0,332,332,10,0,0,0,84,105,221,196,358,332,332,332,344,332,353,59,332,38,0,131,140,,280,86,0,175,104,22,147,77,64,41,163,332,16,208,12,177,24,36,43,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,288,8,6,16,6,31,25,41,0,0,6,31,10,16,269,19,6,31,0,0,263,269,23,0,14,6,109,121,221,196,512,263,288,283,281,288,314,84,288,38,0,131,140,280,,279,6,463,147,56,147,87,215,123,210,418,16,208,69,192,37,36,43,92,11,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,23,86,6,0,0,0,9,0,9,0,0,0,0,0,0,95,20,85,9,0,20,102,86,7,0,0,9,119,86,86,86,211,97,107,97,97,104,93,59,97,76,0,86,86,86,279,,0,293,94,97,86,77,271,160,93,337,16,86,84,86,24,36,43,158,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z,6,6,6,0,20,0,6,6,6,0,41,0,22,17,10,0,17,81,17,0,0,0,6,6,0,6,0,6,6,0,0,6,0,6,6,6,6,6,6,6,0,0,0,0,0,6,0,,0,6,0,0,6,0,0,6,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,168,0,6,7,6,6,0,13,0,0,0,0,0,13,174,6,14,12,6,0,168,168,13,0,12,0,84,112,168,168,359,174,174,174,168,182,176,59,168,38,0,137,146,175,463,293,0,,123,78,147,77,219,123,195,393,16,168,91,168,24,36,43,92,11,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*,14,128,8,0,0,0,24,24,24,0,0,0,24,10,0,104,19,0,24,0,0,104,119,13,0,8,0,108,108,104,104,136,104,123,112,122,128,128,83,128,38,0,104,104,104,147,94,6,123,,132,104,87,97,91,122,135,16,104,63,119,37,36,43,136,11,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,22,0,20,8,0,9,0,9,0,0,9,0,0,9,31,0,0,0,9,0,22,22,7,0,0,6,22,22,22,22,22,22,22,31,22,22,22,22,29,22,0,22,22,22,56,97,0,78,132,,22,22,188,164,29,188,16,22,172,22,22,22,22,198,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
;,0,147,9,15,9,16,16,9,16,13,0,8,6,12,9,154,16,9,7,0,0,157,147,7,7,0,9,84,99,147,147,147,147,157,174,147,147,153,59,147,38,0,131,140,147,147,86,0,147,104,22,,77,64,41,147,147,23,147,12,147,24,36,43,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
&,10,87,8,0,0,0,10,10,10,0,0,0,10,10,0,77,10,0,10,0,0,77,83,6,0,8,0,87,86,77,77,87,77,87,85,87,87,87,69,87,38,0,77,77,77,87,77,6,77,87,22,77,,64,41,84,77,16,77,12,87,34,36,43,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,64,64,0,0,0,0,64,71,64,64,130,64,64,70,64,64,64,59,64,38,0,64,64,64,215,271,0,219,97,188,64,64,,277,91,329,16,64,201,64,24,36,43,246,11,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,41,41,0,0,0,0,41,41,41,41,85,41,41,41,41,41,41,41,41,38,0,41,41,41,123,160,0,123,91,164,41,41,277,,54,211,16,41,156,41,24,36,41,224,11,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,24,170,7,0,0,12,20,7,20,0,0,0,7,7,15,178,16,17,13,6,0,163,169,6,0,16,0,91,106,163,163,170,179,189,190,170,198,170,66,170,38,0,150,155,163,210,93,6,195,122,29,147,84,91,54,,185,16,163,25,170,31,36,43,26,11,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6,481,0,0,0,6,6,0,6,0,0,0,0,0,6,650,6,6,6,6,0,644,644,0,0,6,0,84,99,221,196,732,514,650,650,644,650,644,59,644,38,0,137,146,332,418,337,0,393,135,188,147,77,329,211,185,,16,208,135,177,24,36,43,180,11,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
